epic_number,Campaign
202071573,0
202072230,0
202062064,0
202126825,0
202089231,0
202126877,0
202071955,0
202068723,0
202072849,0
202072597,0
202072661,0
202059373,0
202088299,0
202126888,0
202068807,0
202084447,0
202063271,0
202064139,0
202073124,0
202137119,0
202072577,0
202068797,0
202093033,0
202073232,0
202072801,0
202135260,0
202063042,0
202063661,0
202073319,0
202071718,0
202093819,0
202135114,0
202071767,0
202073360,0
202064532,0
202072403,0
202092351,0
202073361,0
202073217,0
202073238,0
202073218,0
202095220,0
202062198,0
202072688,0
202072737,0
202072906,0
202060562,0
202090738,0
202137909,0
202072204,0
202094117,0
202071624,0
202060551,0
202062120,0
202064549,0
202072963,0
202138045,0
202095298,0
202126878,0
202126851,0
202072451,0
202059433,0
202072498,0
202137160,0
202092480,0
202073064,0
202060921,0
202062447,0
202089307,0
202060806,0
202064133,0
202074775,0
202060800,0
202088191,0
202072919,0
202071902,0
202072613,0
202139332,0
202086968,0
202060523,0
202072596,0
202072634,0
202072282,0
202062552,0
202093968,0
202091197,0
202061333,0
202136438,0
202094508,0
202072461,0
202083924,0
202073346,0
202072567,0
202093353,0
202094081,0
202063266,0
202072544,0
202073175,0
202072675,0
202094640,0
202073348,0
202060752,0
202090227,0
202063828,0
202063357,0
202060447,0
202073270,0
202073088,0
202071611,0
202073135,0
202073434,0
202059416,0
202072502,0
202073210,0
202073185,0
202091015,0
202071293,0
202072806,0
202072991,0
202088701,0
202088178,0
202085014,0
202073362,0
202073145,0
202091553,0
202067081,0
202093540,0
202087368,0
202072133,0
202088965,0
202071677,0
202073258,0
202064214,0
202064539,0
202073235,0
202060577,0
202071698,0
202072006,0
202063530,0
202071829,0
202094823,0
202071757,0
202071676,0
202063327,0
202072822,0
202068814,0
202073307,0
202073377,0
202063678,0
202073267,0
202092299,0
202066941,0
202071572,0
202090669,0
202094076,0
202092538,0
202071704,0
202064535,0
202073314,0
202073323,0
202068727,0
202073257,0
202088474,0
202073174,0
202072497,0
202095639,0
202071879,0
202068811,0
202063282,0
202072624,0
202072169,0
202071847,0
202066394,0
202073144,0
202083510,0
202126866,0
202086225,0
202071842,0
202091203,0
202070340,0
202092613,0
202126880,0
202089592,0
202072485,0
202061000,0
202091514,0
202068686,0
202086627,0
202072430,0
202093875,0
202071579,0
202091071,0
202086291,0
202060198,0
202064491,0
202122545,0
202091278,0
202087681,0
202068181,0
202071635,0
202070263,0
202072966,0
202072992,0
202063160,0
202072965,0
202064530,0
202126867,0
202087553,0
202087591,0
201415414,1
201579626,1
201907820,1
201546971,1
201927431,1
201479538,1
201410584,1
201683910,1
201600674,1
201505569,1
201674814,1
201572722,1
201873161,1
201386598,1
201593658,1
201751532,1
201748885,1
201839237,1
201552908,1
201534061,1
201222038,1
201674807,1
201720109,1
201739972,1
201617930,1
201377900,1
201644790,1
201721222,1
201427257,1
201753654,1
201728074,1
201592476,1
201817375,1
201884852,1
201589262,1
201908974,1
201571821,1
201608319,1
201766747,1
201802433,1
201927024,1
201193506,1
201585232,1
201583400,1
201933700,1
201518531,1
201484494,1
201769424,1
201602854,1
201621305,1
201375034,1
201567780,1
201582850,1
201833284,1
201735172,1
201919351,1
201567820,1
201824843,1
201892629,1
201531578,1
201753254,1
201592815,1
201828402,1
201646800,1
201634054,1
201709153,1
201193591,1
201630905,1
201768602,1
201850413,1
201448202,1
201549223,1
201774941,1
201910662,1
201446898,1
201159302,1
201381586,1
201552857,1
201720987,1
201507195,1
201691034,1
201423623,1
201198562,1
201882460,1
201460186,1
201387169,1
201430034,1
201814774,1
201715393,1
201129544,1
201518712,1
201384087,1
201731218,1
201257260,1
201330013,1
201707257,1
201711578,1
201271106,1
201855304,1
201561005,1
201167905,1
201493012,1
201720674,1
201754974,1
201664689,1
201419249,1
201689490,1
201926949,1
201673708,1
201380321,1
