epic_number,Period_1,Period_2,amp_ratio_21,k2_teff,k2_rad,k2_mass,abs_magnitude,lc_amplitude,p2p_98,p2p_mean,stddev,kurtosis,skew,iqr,mad,max_binned_p2p,mean_binned_p2p,class,probability,RRab_dist,EA_dist,EB_dist,GDOR_DSCUT_dist,template_dist
201488365,6.734215176,0.560757627,0.08326993010239386,5476.0,2.91,1.44,2.4785504728640486,0.37576898575958495,0.05528877394256392,-2.112169214328541e-06,0.06287921505769681,16.870529238569848,-4.174472079823967,0.005541746975449069,0.00397509968345264,0.7098568920453483,0.008798348923799264,EA,0.98383,17.029386365926403,1.4142135623730951,11.04536101718726,26.87005768508881,0.7092769518756399
201893576,0.92994307,13.80191578,14.84167819004232,4462.0,0.61,0.68,6.582949942250407,0.09399100904828972,0.039775150675097945,7.462230649272159e-07,0.015088363832754437,6.897466894315307,-2.5976437590759462,0.007631034616881083,0.005525753094273011,0.4523600799669002,0.006999494129010826,EA,0.714268,18.027756377319946,2.23606797749979,10.04987562112089,26.1725046566048,0.2799699432497953
201828402,19.27854202,18.18521939,0.94328810607847,4181.0,0.51,0.56,7.676904307797968,0.026385664546264898,0.005021073856377574,-4.4870445355069965e-06,0.003250064823138345,0.6101047682649048,-0.150826551637588,0.0040969000634484285,0.0030242362187948525,0.27975559798848404,0.0010187712833436935,Noise,0.981912,21.470910553583888,23.60084744241189,19.104973174542803,6.0827625302982185,0.6484086433949108
201738572,13.01749271,12.31743893,0.946222072437788,4847.0,2.39,0.96,6.333716605931128,0.03581952272043365,0.00131823870957269,6.630012659474853e-07,0.008276924032402974,-0.8431672603598495,0.06685944782391008,0.013509432504314023,0.00979082016478477,0.09965692665300567,0.000310157101054337,OTHPER,0.994142,19.697715603592208,19.697715603592208,26.90724809414742,12.16552506059644,0.2224817543214624
201387169,18.3938494,19.51317428,1.0608532154231949,3415.0,0.18,0.17,11.013293473677924,0.01986174617492098,0.0049174746721780144,-7.669134464815214e-08,0.002629822186499909,0.5957304209656127,0.2048217142932691,0.003190287069133713,0.0023623270441813994,0.3213141336708933,0.00017164797306342357,Noise,0.988551,11.180339887498945,17.804493814764854,17.804493814764854,10.816653826391967,1.1177976713764108
201720109,19.27854202,18.18521939,0.94328810607847,3582.0,0.24,0.24,,0.048819282578267835,0.0107747175517684,3.5490930040529705e-07,0.005102561765201406,1.0818752053814364,0.33014057144585485,0.006565250100646125,0.004853746236188009,0.3100593382083453,0.0004026079789207845,Noise,0.984005,19.798989873223327,17.204650534085253,14.142135623730953,11.6619037896906,1.2386195140253484
201552857,14.96103795,19.51317428,1.3042660773412451,3130.0,0.16,0.13,12.3274706485392,0.02324454696404743,0.005292857805088258,1.6367447346545138e-06,0.0023033998216378344,0.8345599594037236,0.10949595622593143,0.002993070550423305,0.0022079922658685,0.39534207539825705,0.003123667700989789,Noise,0.982516,8.94427190999916,14.422205101855955,17.88854381999832,14.422205101855955,1.1924864846453072
201927024,0.237294305,0.262613469,1.1066994169961222,3903.0,0.38,0.44,7.113276031475937,0.5283425572241393,0.2545286932110972,-6.961864531240644e-05,0.14895360567514934,-1.3078228662729414,-0.00923519507787261,0.27880109823214105,0.20483343924640326,0.0964331355451974,6.77500299684823e-06,EB,0.923997,9.055385138137416,15.033296378372908,3.1622776601683795,19.6468827043885,0.2181434873505188
201882460,18.18521939,19.27854202,1.0601214979348126,3742.0,0.33,0.35,8.882108552854325,0.01955646612848505,0.004376229782987524,-5.712215256102424e-07,0.002468957573784447,0.1122427742336196,0.06065990141070553,0.0033749763305368496,0.002500433410238443,0.2858054536739564,0.00125376434847487,Noise,0.9827,26.90724809414742,18.439088914585774,19.697715603592208,16.1245154965971,0.441072767063152
201407812,2.827275823,0.942470958,0.3333494915257159,5229.0,9.66,0.9,2.7403315799188768,0.2548931957844959,0.035243622778141706,-2.8915939610094503e-06,0.03548928127637492,16.72810400909609,-4.074849395283021,0.010668882288928705,0.007909500045497498,0.3661980395621758,0.004768162748810703,EA,0.7756109999999999,17.464249196572982,4.123105625617661,11.704699910719626,24.839484696748446,0.48739547498405894
201590024,20.0,18.82580772,0.9412903859999999,,,,5.891842398391848,0.029826044591748868,0.0091458670113718,-1.038702931514398e-06,0.0036693156674325812,0.8833244995927738,0.27864044165900137,0.004588581727697161,0.0033961492629811787,,,Noise,0.991359,,,,,
201543049,0.2451465,8.849938925,36.10061300079747,5173.0,0.54,0.6,6.688807689890443,0.042206497404005616,0.007707318516090595,-1.467022998339904e-06,0.00509031544825468,1.976910467769506,0.9071469677332868,0.006087513252388321,0.004458410573030386,0.4205345061120679,0.01779546493047545,Noise,0.988408,,,,,
201610811,0.14114581,0.065611709,0.4648505612741887,4786.0,0.72,0.79,5.6151363702417605,0.265826260259477,0.150991679389485,3.2265830216368685e-05,0.08273458393711389,-1.4765089473767896,0.01504263861081259,0.16486560398925687,0.12220266087565985,0.05471084303716439,7.806421673002676e-05,EB,0.900755,18.248287590894662,26.1725046566048,20.12461179749811,2.23606797749979,0.06278302312218298
201479538,14.96103795,18.60732198,1.2437186538919245,3650.0,0.3,0.32,9.347531708390148,0.0855052284823794,0.009284923334721008,3.832796130934056e-06,0.005249200938173607,5.100654215954629,-0.1765621807074641,0.006113253282152398,0.004531257001115979,0.5450350718965915,0.001251299486377342,Noise,0.985402,18.439088914585774,15.620499351813306,12.16552506059644,12.806248474865697,2.5243926235645446
201910662,20.0,16.67238347,0.8336191734999999,4751.0,0.53,0.57,6.960548109045961,0.07823388140336995,0.011852781503882292,-5.860607939618064e-06,0.007264761663024831,2.6647232425623697,-0.18153154584275585,0.009032024403358596,0.006652711846723044,,,Noise,0.982743,,,,,
201531578,0.375208893,0.056924877,0.1517151593739011,6013.0,1.34,1.11,3.3699875939135535,0.26528373300175057,0.08171233360665421,3.065512946188541e-05,0.07682528926929008,-1.407525322419807,-0.03117802325732787,0.14925394124198355,0.11064700443211208,0.09809907739121004,8.512403050528373e-05,EB,0.936976,10.04987562112089,14.035668847618199,2.23606797749979,19.924858845171283,0.33074072775660496
201271106,12.91265237,13.68411675,1.059744842337144,4698.0,0.69,0.75,6.697755492163272,0.03576175315275765,0.001612733431718506,3.369648419272758e-06,0.008453233616154165,-1.2115485287320518,-0.10330920673689173,0.015268875923633018,0.010858109966633285,0.10398750023287706,0.0002616080510864683,OTHPER,0.992301,28.284271247461906,20.396078054371138,21.54065922853801,16.0,0.4887702850736549
201676716,10.6062866,16.847578100000003,1.5884520884057578,,,,6.215233198398429,0.03647722421675981,0.011975325363930572,3.355713477727662e-06,0.004789708121222487,0.4071266409740777,0.2604276144609527,0.006138038833295223,0.004562656348489857,0.3254363976583405,0.0005038299459527211,Noise,0.986528,14.866068747318506,23.60084744241189,15.652475842498527,6.0827625302982185,0.7934224483468402
201902310,15.39192304,14.5536205,0.9455362050718776,5516.0,0.95,0.91,4.195192461729098,0.027132374672763408,0.0013862280255783847,1.4063747462603354e-06,0.006739065681772033,-0.8607628911880565,-0.44845610540948816,0.010565055506087108,0.006667448297259125,0.0954868042793669,0.0002540648554459148,OTHPER,0.990096,22.02271554554524,17.11724276862369,22.02271554554524,18.248287590894662,0.2375164138647689
201762815,0.223233322,0.048090543,0.2154272604517349,6473.0,1.63,1.37,3.4339398446034486,0.5966669594749715,0.2775005234426173,5.933043995734558e-05,0.19348511166568685,-1.3183601312214186,-0.3449685407239427,0.3627867452676531,0.2438920213075861,0.05843422926341246,1.535909415495159e-05,EB,0.995939,24.413111231467404,20.09975124224178,24.413111231467404,18.0,0.24914500787908636
201592061,0.13928204,0.08882951300000001,0.6377671737145724,5185.0,0.78,0.84,5.1352880144312,0.28975947916726,0.2033472394756813,9.273749893179581e-06,0.0946526985196683,-1.4838732905849832,-0.018287436924702784,0.18832234570213235,0.13957029177790112,0.05234578103657017,4.805691736548896e-05,EB,0.995666,18.110770276274835,25.45584412271571,20.591260281974,2.8284271247461903,0.07103705777276596
201933700,20.0,18.82580772,0.9412903859999999,3414.0,0.19,0.17,11.024738601342245,0.2348811382274533,0.03555530938627744,-9.9456305796887e-07,0.02098826228367008,1.4699573208389136,0.17597467056372834,0.02860740952980556,0.021209363420361827,,,Noise,0.981517,,,,,
201571821,20.0,18.82580772,0.9412903859999999,3682.0,0.27,0.27,11.324788018715525,0.076340084846367,0.011660987294844284,-8.205124118011141e-07,0.007666982265608119,0.8754717942464678,0.35975772440727594,0.010419088611024252,0.007715031227744352,,,Noise,0.983838,,,,,
201549223,18.82580772,17.7818426,0.9445460648739696,4153.0,0.51,0.56,7.429465206496383,0.02832030412581988,0.004416800150993113,-7.481076055994761e-07,0.002996059291554225,0.5873748497474711,0.3887735730381749,0.003994649595060684,0.0029630646216492642,0.5592274049857031,0.004004575039626168,Noise,0.982805,19.104973174542803,17.804493814764854,14.035668847618199,10.816653826391967,2.499496425629373
201789080,11.77468071,11.19896174,0.951105343390666,4333.0,0.56,0.61,7.130284933090272,0.04029325662315142,0.0023387314258426968,-2.9792225327373182e-06,0.00753575722739239,-0.4307866353821921,-0.16684706307885608,0.01100995975040342,0.008106674945616425,0.1984231179808096,0.00158972632770485,OTHPER,0.990724,16.55294535724685,17.4928556845359,24.20743687382041,12.083045973594572,0.3337199688435604
201600674,17.39597255,13.92176057,0.8002864185940556,3501.0,0.19,0.17,10.178806314719008,0.05617302229834065,0.00797528846205646,1.08453845470646e-06,0.0040492157722830605,1.8446637933213719,0.060277270214653,0.004986646553883589,0.0037052912184635813,0.5623285392997968,0.006270440390803822,Noise,0.983421,9.899494936611664,18.384776310850235,8.602325267042627,13.341664064126336,2.028767959734989
201325244,9.312573514,8.849938925,0.950321510127732,5659.0,0.95,0.95,5.169739761188215,0.04162940809742666,0.0009817329034260136,2.3021581846872936e-06,0.008470376949949877,-0.22695634607358794,0.18037742552329747,0.011721857994639873,0.008690830825806678,0.1057580745423118,0.0008079172537748889,OTHPER,0.990063,21.2602916254693,18.867962264113206,16.1245154965971,10.77032961426901,0.8759012112454564
201368515,2.131578436,3.744581674,1.7567177499819668,3958.0,0.43,0.49,6.656804515061162,0.18699977899595246,0.00477539312680729,-3.8669125216845047e-07,0.010023882167617515,127.19410551636469,-10.63348773867493,0.0022171793853715807,0.0016423390910159795,0.3714601368352083,0.003075051512154673,EA,0.748617,17.464249196572982,4.123105625617661,11.704699910719626,24.839484696748446,0.3183190455994752
201448202,19.75358815,18.60732198,0.9419717490667638,,,,8.227045323388962,0.06597426874870138,0.01271142277391176,7.842920587573166e-06,0.008416036770431241,1.2485733182683054,-0.2028259615052754,0.009404252445635477,0.006958659237787483,0.22790459877289915,0.0020549768797452307,Noise,0.982866,14.422205101855955,20.0,12.649110640673518,8.94427190999916,0.5028946616566266
201648133,17.50661074,5.8479345139999985,0.334041500142477,6105.0,1.35,1.03,3.8912745924125782,0.553489329663004,0.0005824543772905133,-2.6736025688628336e-06,0.03707871674706113,118.78120792485859,-10.406847000367453,0.006365745461936356,0.004630903323475596,0.8952480278271624,0.013477953774479324,EA,0.972627,15.0,1.0,13.0,27.586228448267445,0.5178217366262803
201739972,0.055677502,0.04959448,0.8907454217324621,7217.0,1.87,1.63,1.7155446380345527,0.008555157322870821,0.004611826680818344,4.004182098853731e-09,0.0013266119828388436,0.07409616074059366,0.16184436227792148,0.0017973594773090797,0.0013253760699425256,0.3649434706101523,0.004799362367647607,DSCUT,0.958212,21.2602916254693,18.867962264113206,16.1245154965971,10.77032961426901,0.8936890150212596
201607088,0.53087906,0.044239708,0.08333293085622928,5190.0,2.36,0.89,4.725475584786103,0.36043794763225856,0.1540571651850927,5.623440228018958e-05,0.07527850574432939,1.5165538879026776,-1.4765163249868607,0.07016825432559104,0.04054095838105348,0.216760295485302,7.938655744544988e-05,EB,0.982095,17.11724276862369,7.280109889280517,5.385164807134505,22.203603311174522,0.3540152060367752
201689490,11.12128014,20.0,1.7983541236467766,4667.0,0.67,0.73,6.492387670756525,0.05445827211471743,0.003869361224330525,-1.2382973826869328e-06,0.011820056160576287,-0.7909652337126358,0.3854501457515175,0.017693643528857942,0.012484398285566831,0.18836171479909306,0.0008654571384346114,OTHPER,0.991966,18.248287590894662,22.203603311174522,23.430749027719962,7.280109889280517,0.1890519039700998
201398311,0.464567348,0.077430975,0.16667330438384576,,,,8.060004884016507,4.489876948232823,2.2334174548964336,-0.0002891943766791717,1.0727695771350991,0.4884380058400954,1.2368955441011975,1.3123384288308828,0.6279507407882144,0.2217520925363473,0.00018683682748312544,RRab,0.832359,0.0,16.0,12.0,20.396078054371138,0.6337132381074717
201608319,13.45444989,12.80948727,0.9520632485703212,4348.0,0.57,0.63,6.996073089171345,0.03391526661898747,0.0020481436461095314,-3.4227901966522193e-06,0.005206097646509795,-0.556989965981026,-0.07894441753737161,0.007926344992825962,0.005867959065446147,0.22493468752634801,0.0022292996168923533,OTHPER,0.993466,12.529964086141668,14.866068747318506,21.095023109728988,13.45362404707371,0.7483781575337809
201749821,1.401996437,0.467411501,0.3333899349988149,6890.0,1.78,1.23,1.397364313853096,0.5554940172727892,0.11312548427120467,2.3499216860564283e-06,0.14322115806936406,1.0046947723468698,-1.4914123113530653,0.1468703706688027,0.04664799873326556,0.24497548909112365,0.00013046820161015458,EB,0.998527,17.11724276862369,7.280109889280517,5.385164807134505,22.203603311174522,0.6505340792104357
201709153,20.0,10.67691752,0.533845876,3546.0,0.23,0.22,10.756365842743735,0.03443042146761577,0.011367955484686106,-3.5906562380245653e-06,0.004610425646250209,0.5338312982893538,0.28752462378748583,0.006020503621193218,0.004474456645784316,,,Noise,0.982957,,,,,
201377900,19.27854202,18.18521939,0.94328810607847,3888.0,0.37,0.41,8.273298975671974,0.02971354356465505,0.007060053102350527,-1.1532381892771824e-06,0.003548812733853369,0.5948228407971055,-0.07693282196081401,0.00446518226274084,0.003289953685637403,0.4029662644511911,0.0012798634053987307,Noise,0.984591,13.92838827718412,23.021728866442675,14.7648230602334,7.071067811865476,1.2630460657000346
201674807,18.18521939,19.27854202,1.0601214979348126,3986.0,0.45,0.51,7.326372542963745,0.03662303883857898,0.005661776685620096,-2.4627058488353432e-06,0.0027542154500494647,2.109858587533165,-0.0961489733120412,0.0035562589049596967,0.002640758686772254,0.5655598172674392,0.0011569442784446634,Noise,0.984044,11.6619037896906,15.231546211727816,6.324555320336759,15.231546211727816,6.737486268716087
201728074,0.245484314,20.0,81.47160066610203,3450.0,0.2,0.18,,0.1918857483630229,0.022599682989148568,-1.266134649253283e-06,0.01760159582861874,6.88560059404027,1.4493356662492332,0.016726595089887164,0.01235586717488042,0.4307384386244785,0.0027880224426990877,Noise,0.983509,17.804493814764854,14.866068747318506,11.180339887498945,13.45362404707371,1.980456505514018
201592815,12.41280103,10.01029732,0.8064495109368557,3909.0,0.38,0.44,7.011795593070482,0.010873984763682287,0.0032157786453800297,4.342555289647044e-07,0.0012761185923794664,0.6759810828923793,0.1723166851056206,0.0016365919252655516,0.0012158841647802814,0.3757456412656887,0.0015768141794480965,Noise,0.9818,14.212670403551895,18.60107523773827,11.401754250991381,10.295630140987,0.8803139622966383
